date,MSCI_EMI
2005-01-03,3059.7423288201
2005-01-04,3106.770418499
2005-01-05,3106.5641971455
2005-01-06,3162.67490690676
2005-01-07,3157.8718671315
2005-01-10,3113.4280126457
2005-01-11,3101.8978480545
2005-01-12,3096.966923298
2005-01-13,3160.497272338
2005-01-14,3185.8464972256
2005-01-17,3198.08152501474
2005-01-18,3207.659805595
2005-01-19,3192.33708101336
2005-01-20,3166.92256290069
2005-01-21,3126.673622345
2005-01-24,3123.04988334234
2005-01-25,3139.43388033076
2005-01-26,3154.140231952
2005-01-27,3157.7713186565
2005-01-28,3182.093514072
2005-01-31,3246.91297624125
2005-02-01,3249.64320976512
2005-02-02,3263.2952410105
2005-02-03,3335.922675904
2005-02-04,3379.205850285
2005-02-07,3430.26077860575
2005-02-08,3442.9065858868
2005-02-09,3434.39039424425
2005-02-10,3364.5965737818
2005-02-11,3371.4933480125
2005-02-14,3367.0197698489
2005-02-15,3348.11372052565
2005-02-16,3351.3300355698
2005-02-17,3336.02559256782
2005-02-18,3338.59957332851
2005-02-21,3354.4880780145
2005-02-22,3293.790825024
2005-02-23,3299.06012898
2005-02-24,3349.1900741
2005-02-25,3358.08779556816
2005-02-28,3406.28731964079
2005-03-01,3416.98800221667
2005-03-02,3415.77768331415
2005-03-03,3455.86527591024
2005-03-04,3401.11383565734
2005-03-07,3422.80756353729
2005-03-08,3390.85445124675
2005-03-09,3370.032884925
2005-03-10,3387.455513187
2005-03-11,3408.56610306477
2005-03-14,3433.46195154984
2005-03-15,3465.60562914825
2005-03-16,3422.02842816172
2005-03-17,3393.98492885568
2005-03-18,3403.50500093603
2005-03-21,3412.038010192
2005-03-22,3435.605219457
2005-03-23,3393.58805447817
2005-03-24,3390.16381721875
2005-03-25,3397.608315108
2005-03-28,3444.1066173118
2005-03-29,3402.76534980725
2005-03-30,3383.71271323746
2005-03-31,3424.09613267855
2005-04-01,3461.9140888848
2005-04-04,3416.05759738856
2005-04-05,3399.75175359798
2005-04-06,3381.033733609
2005-04-07,3397.8346697075
2005-04-08,3406.29618016836
2005-04-11,3403.3110268628
2005-04-12,3380.542377353
2005-04-13,3390.1633219321
2005-04-14,3397.88650966842
2005-04-15,3349.965164375
2005-04-18,3298.6449078556
2005-04-19,3279.710699234
2005-04-20,3235.00100637
2005-04-21,3245.633559942
2005-04-22,3241.835422038
2005-04-25,3274.95262702405
2005-04-26,3291.76133306532
2005-04-27,3251.28345601361
2005-04-28,3242.0951563161
2005-04-29,3221.88917953279
2005-05-02,3236.42727692703
2005-05-03,3245.67749040444
2005-05-04,3249.27600160625
2005-05-05,3249.749444673
2005-05-06,3304.03940173164
2005-05-09,3358.7979712045
2005-05-10,3354.533897242
2005-05-11,3344.90473343706
2005-05-12,3380.411896387
2005-05-13,3384.99639576
2005-05-16,3413.3922316956
2005-05-17,3434.421000357
2005-05-18,3443.146760417
2005-05-19,3475.5248093222
2005-05-20,3547.4464416424
2005-05-23,3538.39029102075
2005-05-24,3570.35172547052
2005-05-25,3520.62173628
2005-05-26,3595.50063529484
2005-05-27,3605.79252518
2005-05-30,3668.78899134
2005-05-31,3720.65602955
2005-06-01,3765.972061072
2005-06-02,3746.744107182
2005-06-03,3788.137328554
2005-06-06,3715.29962502806
2005-06-07,3671.397334683
2005-06-08,3752.90613739932
2005-06-09,3720.31635247848
2005-06-10,3731.804148468
2005-06-13,3802.452952369
2005-06-14,3836.1885133932
2005-06-15,3799.56390994872
2005-06-16,3780.327251889
2005-06-17,3810.22949414539
2005-06-20,3814.30162613533
2005-06-21,3807.007096827
2005-06-22,3840.33668605542
2005-06-23,3849.77872582254
2005-06-24,3797.752609989
2005-06-27,3743.876504844
2005-06-28,3757.20183135275
2005-06-29,3763.55660533448
2005-06-30,3761.191002239
2005-07-01,3883.4046192805
2005-07-04,3856.9088731695
2005-07-05,3852.8978191044
2005-07-06,3862.352048954
2005-07-07,3843.29691219138
2005-07-08,3858.35379408
2005-07-11,3839.85071175
2005-07-12,3790.212841191
2005-07-13,3885.65894492539
2005-07-14,3883.572747404
2005-07-15,3856.95503808384
2005-07-18,3875.12502508329
2005-07-19,3908.447489122
2005-07-20,3878.38310608723
2005-07-21,3883.47921877296
2005-07-22,3943.70556521268
2005-07-25,3952.9523269595
2005-07-26,3943.02586732252
2005-07-27,3932.9392141605
2005-07-28,3960.7470515628
2005-07-29,3949.8047447595
2005-08-01,3958.0340362
2005-08-02,4001.310059271
2005-08-03,3972.46480308117
2005-08-04,3984.298899896
2005-08-05,3977.513086646
2005-08-08,3964.03029388184
2005-08-09,3969.66143106165
2005-08-10,3962.8300494855
2005-08-11,3938.14528557545
2005-08-12,3935.21500031308
2005-08-15,3980.20738890333
2005-08-16,3972.72351988
2005-08-17,3984.76954496354
2005-08-18,3971.248428553
2005-08-19,3955.75874816469
2005-08-22,3965.4894720875
2005-08-23,3953.46583714368
2005-08-24,3903.63856548817
2005-08-25,3907.2531551076
2005-08-26,3912.48077536245
2005-08-29,3864.48392850732
2005-08-30,3926.3258356621
2005-08-31,3855.62235798
2005-09-01,3867.530286609
2005-09-02,3881.258766164
2005-09-05,3898.53784736031
2005-09-06,3957.3895317827
2005-09-07,3970.3901153488
2005-09-08,3973.28943460356
2005-09-09,3971.66967738765
2005-09-12,4046.3990715012
2005-09-13,4026.31556035515
2005-09-14,4023.09473279791
2005-09-15,4045.65643543675
2005-09-16,4059.5596863836
2005-09-19,4112.4823404331
2005-09-20,4128.961773684
2005-09-21,4125.70843408113
2005-09-22,4073.03336890395
2005-09-23,4065.73345326015
