date,MSCI_ACWI
2005-01-03,3756.572756343
2005-01-04,3835.393555367
2005-01-05,3865.070356693
2005-01-06,3985.54505431656
2005-01-07,3966.400594554
2005-01-10,3919.2728259792
2005-01-11,3881.591199977
2005-01-12,3887.775677311
2005-01-13,3927.199629248
2005-01-14,3945.1782363136
2005-01-17,3942.84745338484
2005-01-18,3991.508227238
2005-01-19,3949.60108892202
2005-01-20,3919.42892091696
2005-01-21,3853.48921132
2005-01-24,3834.38019804426
2005-01-25,3851.24209401444
2005-01-26,3866.896646512
2005-01-27,3865.246636706
2005-01-28,3868.616081484
2005-01-31,3933.81539276875
2005-02-01,3958.49516472144
2005-02-02,3980.8118704745
2005-02-03,4032.82633576725
2005-02-04,4099.10868009
2005-02-07,4142.5327756655
2005-02-08,4164.2731805481
2005-02-09,4117.5580998855
2005-02-10,4058.7936473076
2005-02-11,4076.20381314625
2005-02-14,4038.1076991989
2005-02-15,4014.9102210522
2005-02-16,4014.5281392564
2005-02-17,3978.32704969185
2005-02-18,3968.25575590337
2005-02-21,3980.148261406
2005-02-22,3859.625722752
2005-02-23,3864.4772818575
2005-02-24,3900.51015
2005-02-25,3921.13758068478
2005-02-28,3932.53819346362
2005-03-01,3967.61476319307
2005-03-02,4003.2206284153
2005-03-03,4042.20834662064
2005-03-04,4000.216548933
2005-03-07,4011.23692272609
2005-03-08,3978.0100762315
2005-03-09,3928.38727446
2005-03-10,3976.8583764155
2005-03-11,3977.84133786717
2005-03-14,4056.2739621822
2005-03-15,4151.60010732425
2005-03-16,4092.30157150152
2005-03-17,4068.50249559048
2005-03-18,4074.40502215153
2005-03-21,4091.515927849
2005-03-22,4121.944828884
2005-03-23,4105.71379114673
2005-03-24,4107.861255472
2005-03-25,4102.3510139325
2005-03-28,4176.39573965295
2005-03-29,4152.41525133225
2005-03-30,4147.73909436786
2005-03-31,4148.18238859395
2005-04-01,4133.9034357552
2005-04-04,4099.8820408359
2005-04-05,4097.20733106096
2005-04-06,4068.50201932825
2005-04-07,4096.900934645
2005-04-08,4088.45445769242
2005-04-11,4099.912578553
2005-04-12,4077.506312017
2005-04-13,4059.7198812188
2005-04-14,4104.36131274389
2005-04-15,4053.054484375
2005-04-18,4038.0562013386
2005-04-19,4002.52331184125
2005-04-20,3914.16091441448
2005-04-21,3954.861623376
2005-04-22,3935.787625764
2005-04-25,3973.2833494648
2005-04-26,3953.79119263401
2005-04-27,3927.85683335457
2005-04-28,3931.1462518849
2005-04-29,3929.19354368582
2005-05-02,3944.30759277642
2005-05-03,3958.03312937396
2005-05-04,3942.2057870745
2005-05-05,3909.636998273
2005-05-06,3957.77385428652
2005-05-09,4033.89283746334
2005-05-10,4024.140763725
2005-05-11,4038.22862275767
2005-05-12,4073.87024109012
2005-05-13,4077.16152795
2005-05-16,4126.1671817146
2005-05-17,4171.276140357
2005-05-18,4185.893775518
2005-05-19,4209.31455537324
2005-05-20,4295.4023836685
2005-05-23,4320.61321889175
2005-05-24,4346.43633971282
2005-05-25,4283.0079696
2005-05-26,4384.65689329536
2005-05-27,4359.72914989
2005-05-30,4424.15870771625
2005-05-31,4498.44021191832
2005-06-01,4596.966596612
2005-06-02,4543.2158199615
2005-06-03,4545.1181247924
2005-06-06,4467.98141546789
2005-06-07,4436.942717922
2005-06-08,4523.04479430243
2005-06-09,4500.07422799158
2005-06-10,4483.16663256
2005-06-13,4562.389722321
2005-06-14,4603.2094850892
2005-06-15,4538.77354492618
2005-06-16,4516.380018708
2005-06-17,4548.32752048908
2005-06-20,4545.72670653464
2005-06-21,4554.668359681
2005-06-22,4562.08632671364
2005-06-23,4559.5753372866
2005-06-24,4494.421618947
2005-06-27,4430.8857090645
2005-06-28,4466.6054899785
2005-06-29,4485.77936281457
2005-06-30,4468.4498607925
2005-07-01,4588.9887981855
2005-07-04,4573.696000655
2005-07-05,4608.8952858573
2005-07-06,4595.15700453
2005-07-07,4578.43359840825
2005-07-08,4629.348191124
2005-07-11,4574.347554575
2005-07-12,4475.776151133
2005-07-13,4570.36848371903
2005-07-14,4549.085707057
2005-07-15,4546.6819560448
2005-07-18,4549.14737664783
2005-07-19,4581.414511962
2005-07-20,4539.38549006635
2005-07-21,4523.74062379641
2005-07-22,4587.02858943924
2005-07-25,4587.438205127
2005-07-26,4606.26496556544
2005-07-27,4593.79029349641
2005-07-28,4608.0444989304
2005-07-29,4572.7013769465
2005-08-01,4564.451355476
2005-08-02,4592.457068493
2005-08-03,4545.58786405812
2005-08-04,4531.588517008
2005-08-05,4506.283018968
2005-08-08,4496.51599484464
2005-08-09,4516.56770041487
2005-08-10,4497.4885307965
2005-08-11,4493.27352070893
2005-08-12,4492.14328227698
2005-08-15,4545.16730418606
2005-08-16,4525.482697605
2005-08-17,4545.10205168924
2005-08-18,4556.198979236
2005-08-19,4576.86613920161
2005-08-22,4558.04730675
2005-08-23,4546.58210451789
2005-08-24,4513.36971497275
2005-08-25,4510.74200204506
2005-08-26,4505.38751469105
2005-08-29,4489.43111845488
2005-08-30,4541.8433605896
2005-08-31,4468.498865232
2005-09-01,4449.734196369
2005-09-02,4419.017851576
2005-09-05,4441.29606832023
2005-09-06,4528.6042668899
2005-09-07,4539.4195372812
2005-09-08,4515.48961990776
2005-09-09,4521.65500442565
2005-09-12,4582.3486677152
2005-09-13,4546.9804504044
2005-09-14,4532.12269408885
2005-09-15,4536.86196147625
2005-09-16,4559.5754621476
2005-09-19,4588.14947237375
2005-09-20,4570.462473192
2005-09-21,4517.42378716928
2005-09-22,4483.12078518975
