date,MSCI_IMI
2012-01-17,6741.732433
2012-01-18,6746.5829
2012-01-19,6774.658272
2012-01-20,6771.35925
2012-01-23,6814.2438
2012-01-24,6777.1155
2012-01-25,6782.45344
2012-01-26,6735.38218
2012-01-27,6691.984845
2012-01-30,6747.30086
2012-01-31,6723.7852
2012-02-01,6714.248128
2012-02-02,6688.98516
2012-02-03,6667.16778
2012-02-06,6683.59287
2012-02-07,6707.802028
2012-02-08,6717.746224
2012-02-09,6752.32866
2012-02-10,6831.1257
2012-02-13,6806.487625
2012-02-14,6810.256272
2012-02-15,6846.789984
2012-02-16,6885.25725
2012-02-17,6904.10714
2012-02-20,6899.355372
2012-02-21,6934.54582
2012-02-22,6911.401167
2012-02-23,6881.70834
2012-02-24,6840.641625
2012-02-27,6812.690188
2012-02-28,6777.977525
2012-02-29,6743.655104
2012-03-01,6705.022698
2012-03-02,6760.990167
2012-03-05,6763.876112
2012-03-06,6718.72176
2012-03-07,6719.107798
2012-03-08,6708.746544
2012-03-09,6767.50722
2012-03-12,6785.553978
2012-03-13,6854.459124
2012-03-14,6975.62992
2012-03-15,6970.165
2012-03-16,6937.52985
2012-03-19,6953.421861
2012-03-20,6961.38283
2012-03-21,6993.144864
2012-03-22,6972.341232
2012-03-23,6982.44206
2012-03-26,6996.362343
2012-03-27,6953.688
2012-03-28,7007.16856
2012-03-29,7023.192769
2012-03-30,6988.9635
2012-04-02,7058.7348
2012-04-03,7068.3977
2012-04-04,7029.116636
2012-04-05,7028.11954
2012-04-06,7055.4064
2012-04-09,7015.542468
2012-04-10,6990.62175
2012-04-11,7057.939869
2012-04-12,7053.23752
2012-04-13,7019.250579
2012-04-16,7007.861315
2012-04-17,7019.5893
2012-04-18,7009.60178
2012-04-19,6986.897968
2012-04-20,6976.53444
2012-04-23,6903.017225
2012-04-24,6908.6656
2012-04-25,6957.013734
2012-04-26,7021.916275
2012-04-27,7019.41692
2012-04-30,7008.572448
2012-05-01,7004.082984
2012-05-02,6948.634
2012-05-03,6935.529503
2012-05-04,6896.73215
2012-05-07,6873.529008
2012-05-08,6877.999412
2012-05-09,6933.4695
2012-05-10,6981.764192
2012-05-11,7020.15525
2012-05-14,7011.092725
2012-05-15,7031.35164
2012-05-16,7006.639194
2012-05-17,6920.1747
2012-05-18,6838.037385
2012-05-21,6858.0593
2012-05-22,6961.18656
2012-05-23,6963.13632
2012-05-24,6932.1408
2012-05-25,6990.648
2012-05-28,6942.96975
2012-05-29,6972.233817
2012-05-30,7044.016439
2012-05-31,7002.2205
2012-06-01,6924.484
2012-06-04,6859.815576
2012-06-05,6851.83485
2012-06-06,6912.172678
2012-06-07,6967.654704
2012-06-08,6982.120608
2012-06-11,7004.883232
2012-06-12,7002.479485
2012-06-13,6968.83825
2012-06-14,6998.911128
2012-06-15,7046.981596
2012-06-18,7029.544263
2012-06-19,7045.537375
2012-06-20,7050.193516
2012-06-21,7080.601328
2012-06-22,7087.309422
2012-06-25,7051.619106
2012-06-26,7045.06832
2012-06-27,7098.64478
2012-06-28,7061.544189
2012-06-29,7065.0096
2012-07-02,7091.218488
2012-07-03,7080.66921
2012-07-04,7130.0913
2012-07-05,7095.004875
2012-07-06,7105.008996
2012-07-09,7053.607728
2012-07-10,7023.43095
2012-07-11,7029.205638
2012-07-12,7050.288861
2012-07-13,7075.83375
2012-07-16,7047.880225
2012-07-17,7039.264036
2012-07-18,7081.10055
2012-07-19,7136.438855
2012-07-20,7149.371175
2012-07-23,7176.84273
2012-07-24,7173.0624
2012-07-25,7050.567903
2012-07-26,7072.26625
2012-07-27,7133.858
2012-07-30,7201.8567
2012-07-31,7185.408904
2012-08-01,7284.26705
2012-08-02,7208.256678
2012-08-03,7176.47805
2012-08-06,7239.552
2012-08-07,7290.80802
2012-08-08,7220.5304
2012-08-09,7228.5785
2012-08-10,7218.4554
2012-08-13,7271.95929
2012-08-14,7329.51464
2012-08-15,7371.628264
2012-08-16,7412.226116
2012-08-17,7529.421744
2012-08-20,7538.488928
2012-08-21,7498.153686
2012-08-22,7441.68234
2012-08-23,7497.362108
2012-08-24,7575.65816
2012-08-27,7620.124476
2012-08-28,7581.39291
2012-08-29,7571.318616
2012-08-30,7563.077033
2012-08-31,7541.7322
2012-09-03,7538.343555
2012-09-04,7537.815478
2012-09-05,7527.57105
2012-09-06,7572.902848
2012-09-07,7534.267635
2012-09-10,7481.773287
2012-09-11,7502.4737
2012-09-12,7719.46801
2012-09-13,7701.077078
2012-09-14,7762.8177
2012-09-17,7800.2484
2012-09-18,7687.098208
2012-09-19,7803.395964
2012-09-20,7748.99904
2012-09-21,7743.82829
2012-09-24,7674.28869
2012-09-25,7662.5572
2012-09-26,7582.134
2012-09-27,7647.694158
2012-09-28,7672.71233
2012-10-01,7760.47734
2012-10-02,7753.33772
2012-10-03,7825.803648
2012-10-04,7963.658
2012-10-05,8203.876744
2012-10-08,8303.9712
2012-10-09,8051.86385
2012-10-10,8022.009655
2012-10-11,7980.843276
2012-10-12,7985.41733
2012-10-15,8129.155584
2012-10-16,8135.317414
2012-10-17,8112.598765
2012-10-18,8113.60629
2012-10-19,8042.374888
2012-10-22,8035.1274
2012-10-23,8027.95908
2012-10-24,8037.365112
2012-10-25,8025.337644
2012-10-26,7916.732269
2012-10-29,7888.138706
2012-10-30,7933.08425
2012-10-31,7956.331684
2012-11-01,8001.600986
2012-11-02,8029.6376
2012-11-05,7975.5591
2012-11-06,7977.48222
2012-11-07,7850.042928
2012-11-08,7858.2896
2012-11-09,7839.680664
2012-11-12,7824.084
2012-11-13,7890.92794
2012-11-14,7869.641485
2012-11-15,7893.7242
2012-11-16,7818.5371
2012-11-19,7934.088288
2012-11-20,7993.73052
2012-11-21,8111.884624
2012-11-22,8146.160319
2012-11-23,8148.171838
2012-11-26,8151.754276
2012-11-27,8085.872975
2012-11-28,8112.712374
2012-11-29,8155.37905
2012-11-30,8256.047118
2012-12-03,8228.62326
2012-12-04,8121.250368
2012-12-05,8148.065601
2012-12-06,8085.800457
2012-12-07,8072.946987
2012-12-10,8053.19885
2012-12-11,8092.444176
2012-12-12,8100.011703
2012-12-13,8082.165392
2012-12-14,8055.05372
2012-12-17,8017.08985
2012-12-18,8053.92476
2012-12-19,8048.81922
2012-12-20,8101.8091
2012-12-21,8125.93734
2012-12-24,8080.582016
2012-12-25,8076.517575
2012-12-26,8056.26466
2012-12-27,8013.43037
2012-12-28,7956.83323
2012-12-31,8013.00528
2013-01-01,8015.1346
2013-01-02,8176.065744
2013-01-03,8259.032595
2013-01-04,8303.173112
2013-01-07,8256.409227
2013-01-08,8244.3303
2013-01-09,8328.72278
2013-01-10,8404.498542
2013-01-11,8522.694
2013-01-14,8507.3619
2013-01-15,8643.4601
2013-01-16,8596.171688
2013-01-17,8605.610265
2013-01-18,8720.23752
2013-01-21,8728.323375
2013-01-22,8707.429757
2013-01-23,8907.90842
2013-01-24,8910.89675
2013-01-25,8900.45625
2013-01-28,9056.930225
2013-01-29,9024.1492
2013-01-30,9028.917792
2013-01-31,8929.07508
2013-02-01,8848.576
2013-02-04,8854.435656
2013-02-05,8772.209158
2013-02-06,8899.757516
2013-02-07,8871.476367
2013-02-08,8881.176699
2013-02-11,8896.843406
2013-02-12,8956.68961
2013-02-13,8906.184438
2013-02-14,8771.838375
2013-02-15,8841.5379
2013-02-18,8904.452489
2013-02-19,8938.07264
2013-02-20,8930.8926
2013-02-21,8761.727808
2013-02-22,8821.56075
2013-02-25,8720.4366
2013-02-26,8651.61495
2013-02-27,8777.900278
2013-02-28,8973.564
2013-03-01,9014.547975
2013-03-04,9068.126742
2013-03-05,9079.3425
2013-03-06,9186.84231
2013-03-07,9226.0659
2013-03-08,9224.29236
2013-03-11,9236.839815
2013-03-12,9306.99692
2013-03-13,9384.176569
2013-03-14,9367.01766
2013-03-15,9455.52062
2013-03-18,9310.063105
2013-03-19,9405.81586
2013-03-20,9496.997412
2013-03-21,9444.221345
2013-03-22,9452.253405
2013-03-25,9412.05592
2013-03-26,9429.914025
2013-03-27,9404.764875
2013-03-28,9426.99074
2013-03-29,9445.264425
2013-04-01,9319.480896
2013-04-02,9419.157828
2013-04-03,9327.735675
2013-04-04,9252.313175
2013-04-05,9203.0648
2013-04-08,9147.723305
2013-04-09,9121.204075
2013-04-10,9175.419095
2013-04-11,9276.807664
2013-04-12,9241.354733
2013-04-15,9381.468168
2013-04-16,9308.55884
2013-04-17,9287.5594
2013-04-18,9259.704838
2013-04-19,9306.424712
2013-04-22,9351.375264
2013-04-23,9427.761825
2013-04-24,9452.3803
2013-04-25,9470.963981
2013-04-26,9456.097545
2013-04-29,9422.8545
2013-04-30,9452.653708
2013-05-01,9393.609372
2013-05-02,9339.25182
2013-05-03,9430.339644
2013-05-06,9477.43845
2013-05-07,9627.960348
2013-05-08,9630.243324
2013-05-09,9608.310894
2013-05-10,9712.844281
2013-05-13,9762.136714
2013-05-14,9904.86
2013-05-15,9956.9905
